date,open,high,low,close,volume,adj_close
2011-08-03,166.36000000000001,166.62,165.52000000000001,165.52000000000001,1900,165.52000000000001
2011-08-02,163.33000000000001,164.16,163.33000000000001,164.16,1600,164.16
2011-08-01,162.19,162.25,162.06999999999999,162.06999999999999,500,162.06999999999999
2011-07-29,162.55000000000001,162.55000000000001,162.19,162.19,1400,162.19
2011-07-28,161.49000000000001,161.49000000000001,161.49000000000001,161.49000000000001,0,161.49000000000001
2011-07-27,161.49000000000001,161.49000000000001,161.49000000000001,161.49000000000001,0,161.49000000000001
2011-07-26,160.81999999999999,161.50999999999999,160.81999999999999,161.49000000000001,10700,161.49000000000001
2011-07-25,161.15000000000001,161.33000000000001,160.81999999999999,161.18000000000001,1000,161.18000000000001
2011-07-22,160.31999999999999,160.31999999999999,160.19,160.19,300,160.19
2011-07-21,159.40000000000001,159.40000000000001,158.68000000000001,158.68000000000001,1400,158.68000000000001
2011-07-20,158.25,158.25,158.25,158.25,0,158.25
2011-07-19,159.86000000000001,159.86000000000001,158.25,158.25,1500,158.25
2011-07-18,159.61000000000001,160.40000000000001,159.59999999999999,160.40000000000001,2200,160.40000000000001
2011-07-15,158.61000000000001,158.66,158.58000000000001,158.66,800,158.66
2011-07-14,158.69999999999999,159.02000000000001,157.72,158.58000000000001,5500,158.58000000000001
2011-07-13,157.72,158.34,157.72,158.19,600,158.19
2011-07-12,154.87,155.88999999999999,154.87,155.88999999999999,500,155.88999999999999
2011-07-11,153.91,153.91,153.91,153.91,0,153.91
2011-07-08,153.88999999999999,153.91,153.88999999999999,153.91,400,153.91
2011-07-07,152.68000000000001,152.88999999999999,152.68000000000001,152.88999999999999,300,152.88999999999999
2011-07-06,150.86000000000001,150.86000000000001,150.86000000000001,150.86000000000001,0,150.86000000000001
2011-07-05,150.86000000000001,150.86000000000001,150.86000000000001,150.86000000000001,100,150.86000000000001
2011-07-01,147.80000000000001,148.38999999999999,147.80000000000001,148.38999999999999,1000,148.38999999999999
2011-06-30,150.38999999999999,150.63,149.84999999999999,149.88999999999999,1700,149.88999999999999
2011-06-29,150.99000000000001,150.99000000000001,150.74000000000001,150.74000000000001,200,150.74000000000001
2011-06-28,149.59,149.59,149.59,149.59,0,149.59
2011-06-27,149.5,149.59,149.25999999999999,149.59,900,149.59
2011-06-24,150.65000000000001,150.66,149.63999999999999,149.91999999999999,5100,149.91999999999999
2011-06-23,152.46000000000001,152.46000000000001,150.97999999999999,151.53999999999999,5300,151.53999999999999
2011-06-22,154.78999999999999,155.50999999999999,154.28,154.55000000000001,5600,154.55000000000001
2011-06-21,153.96000000000001,154.41,153.96000000000001,154.09,2200,154.09
2011-06-20,153.84,154.25,153.74000000000001,154.06999999999999,3100,154.06999999999999
2011-06-17,153.34,153.53999999999999,153.34,153.53999999999999,700,153.53999999999999
2011-06-16,152.77000000000001,152.97,151.96000000000001,152.81,3200,152.81
2011-06-15,152.97999999999999,153.21000000000001,151.63,152.88999999999999,3400,152.88999999999999
2011-06-14,152.06999999999999,152.06999999999999,151.41,151.41,800,151.41
2011-06-13,151.47,151.62,151.41,151.46000000000001,2400,151.46000000000001
2011-06-10,153.25999999999999,153.25999999999999,152.94999999999999,152.94999999999999,500,152.94999999999999
2011-06-09,153.75,154.59999999999999,153.75,153.99000000000001,2800,153.99000000000001
2011-06-08,153.84999999999999,153.84999999999999,153.30000000000001,153.30000000000001,1000,153.30000000000001
2011-06-07,153.46000000000001,154.13999999999999,153.46000000000001,154.13999999999999,1500,154.13999999999999
2011-06-06,154.56,154.99000000000001,154.05000000000001,154.16,4400,154.16
2011-06-03,154.03999999999999,154.03999999999999,153.50999999999999,153.97,1600,153.97
2011-06-02,153.88999999999999,153.88999999999999,151.91999999999999,153.13999999999999,3000,153.13999999999999
2011-06-01,153.36000000000001,154.75,153.25999999999999,154.25,5400,154.25
2011-05-31,153.44,153.66,153.21000000000001,153.28999999999999,1900,153.28999999999999
2011-05-27,153.11000000000001,153.55000000000001,153.11000000000001,153.44,1400,153.44
2011-05-26,152.25,152.25,151.62,151.91999999999999,2700,151.91999999999999
2011-05-25,152.59999999999999,152.66,152.25,152.25,1700,152.25
2011-05-24,152.16999999999999,152.43000000000001,152.16999999999999,152.28,4200,152.28
2011-05-23,150.69999999999999,151.38999999999999,150.69999999999999,151.38999999999999,6700,151.38999999999999
2011-05-20,148.63999999999999,151.28999999999999,148.61000000000001,151.28999999999999,13300,151.28999999999999
2011-05-19,148.90000000000001,149.13999999999999,148.90000000000001,149.12,1200,149.12
2011-05-18,149.18000000000001,149.74000000000001,148.91,149.63999999999999,2000,149.63999999999999
2011-05-17,147.63,148.25,147.41,148.19,6800,148.19
2011-05-16,149.13999999999999,149.21000000000001,148.97,148.97999999999999,4700,148.97999999999999
2011-05-13,150.36000000000001,150.38999999999999,148.88999999999999,148.99000000000001,11600,148.99000000000001
2011-05-12,149.44999999999999,150.56,149.31999999999999,150.09,5200,150.09
2011-05-11,150.53,150.66,149.5,150.16,12100,150.16
2011-05-10,150.81999999999999,151.59999999999999,150.81999999999999,151.59999999999999,3200,151.59999999999999
2011-05-09,150.53,151.06999999999999,150.15000000000001,151.03999999999999,4700,151.03999999999999
2011-05-06,148.83000000000001,149.56,148.22999999999999,149.13,17600,149.13
2011-05-05,150.05000000000001,150.05000000000001,145.50999999999999,146.88,12500,146.88
2011-05-04,153.78,153.81,148.22,151.25,26000,151.25
2011-05-03,153.5,154.58000000000001,152.74000000000001,153.38,7300,153.38
2011-05-02,155.49000000000001,157.22,154.34999999999999,154.34999999999999,9400,154.34999999999999
2011-04-29,153.55000000000001,156.78999999999999,153.55000000000001,155.77000000000001,15000,155.77000000000001
2011-04-28,153.24000000000001,153.47,152.40000000000001,153.44999999999999,4800,153.44999999999999
2011-04-27,151.06999999999999,152.78,150.25999999999999,152.78,8000,152.78
2011-04-26,149.5,150.11000000000001,149.37,149.97,1100,149.97
2011-04-25,151.22,151.22,150.27000000000001,150.86000000000001,7000,150.86000000000001
2011-04-21,150.34999999999999,150.69,150.28999999999999,150.47,3500,150.47
2011-04-20,150.0,150.25999999999999,149.56,149.86000000000001,4800,149.86000000000001
2011-04-19,149.58000000000001,149.58000000000001,149.34,149.34,700,149.34
2011-04-18,149.12,149.52000000000001,148.24000000000001,149.40000000000001,4500,149.40000000000001
2011-04-15,147.38,148.38,147.30000000000001,148.38,2000,148.38
2011-04-14,145.78,147.24000000000001,145.78,147.24000000000001,12200,147.24000000000001
2011-04-13,145.56,145.93000000000001,145.28999999999999,145.55000000000001,11300,145.55000000000001
2011-04-12,144.56999999999999,145.28999999999999,144.56999999999999,144.72999999999999,2200,144.72999999999999
2011-04-11,146.91,146.91,146.91,146.91,700,146.91
2011-04-08,146.84,147.24000000000001,146.72999999999999,147.24000000000001,7400,147.24000000000001
2011-04-07,145.96000000000001,145.96000000000001,145.63999999999999,145.88,3300,145.88
2011-04-06,144.78,144.78,144.78,144.78,0,144.78
2011-04-05,144.78,144.78,144.78,144.78,1200,144.78
2011-04-04,142.69,142.69,142.69,142.69,0,142.69
2011-04-01,142.12,142.69,141.81999999999999,142.69,5100,142.69
2011-03-31,143.63,143.63,143.34,143.34,5600,143.34
2011-03-30,141.49000000000001,141.49000000000001,141.49000000000001,141.49000000000001,0,141.49000000000001
2011-03-29,141.50999999999999,141.50999999999999,141.49000000000001,141.49000000000001,5100,141.49000000000001
2011-03-28,141.71000000000001,142.0,141.71000000000001,141.86000000000001,3700,141.86000000000001
2011-03-25,143.16,143.16,142.18000000000001,142.19,4500,142.19
2011-03-24,144.72999999999999,144.72999999999999,143.03,143.03,4400,143.03
